Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Italy,IT
2023-01-06,Epiphany,['National holiday'],Italy,IT
2023-02-22,Ash Wednesday,['Observance'],Italy,IT
2023-03-19,Father's Day,['Observance'],Italy,IT
2023-03-20T22:24:20+01:00,March Equinox,['Season'],Italy,IT
2023-04-07,Good Friday,['Observance'],Italy,IT
2023-04-09,Easter Sunday,['National holiday'],Italy,IT
2023-04-10,Easter Monday,['National holiday'],Italy,IT
2023-04-25,Liberation Day,['National holiday'],Italy,IT
2023-04-25,The Feast of St Mark (Venice),['Local holiday'],Italy,IT
2023-05-01,Labor Day / May Day,['National holiday'],Italy,IT
2023-05-14,Mother's Day,['Observance'],Italy,IT
2023-06-02,Republic Day,['National holiday'],Italy,IT
2023-06-21T16:57:49+02:00,June Solstice,['Season'],Italy,IT
2023-06-24,"The Feast of St. John (Florence, Genoa, Turin)",['Local holiday'],Italy,IT
2023-06-29,The Feast of St. Peter and St. Paul (Rome),['Local holiday'],Italy,IT
2023-08-15,Assumption of Mary,['National holiday'],Italy,IT
2023-08-15,Ferragosto,['Observance'],Italy,IT
2023-09-19,The Feast of Saint Januarius (Naples),['Local holiday'],Italy,IT
2023-09-23T08:50:01+02:00,September Equinox,['Season'],Italy,IT
2023-11-01,All Saints' Day,['National holiday'],Italy,IT
2023-12-07,The Feast of St. Ambrose (Milan),['Local holiday'],Italy,IT
2023-12-08,Feast of the Immaculate Conception,['National holiday'],Italy,IT
2023-12-22T04:27:21+01:00,December Solstice,['Season'],Italy,IT
2023-12-25,Christmas Day,['National holiday'],Italy,IT
2023-12-26,St. Stephen's Day,['National holiday'],Italy,IT
2023-12-31,New Year's Eve,['Observance'],Italy,IT
